[2017-10-21 20:09:12]	 Pacman collected 1 points!
[2017-10-21 20:09:13]	 Pacman collected 1 points!
[2017-10-21 20:09:13]	 Pacman collected 1 points!
[2017-10-21 20:09:14]	 Pacman collected 1 points!
[2017-10-21 20:09:14]	 Pacman collected 1 points!
[2017-10-21 20:09:15]	 Pacman collected 1 points!
[2017-10-21 20:09:15]	 Pacman collected 1 points!
[2017-10-21 20:09:17]	 Pacman collected 1 points!
[2017-10-21 20:09:17]	 Pacman collected 1 points!
[2017-10-21 20:09:17]	 Pacman collected 1 points!
[2017-10-21 20:09:18]	 Pacman collected 1 points!
[2017-10-21 20:09:19]	 Pacman collected 5 points!
[2017-10-21 20:09:19]	 Pacman collected 1 points!
[2017-10-21 20:09:20]	 Pacman collected 1 points!
[2017-10-21 20:09:21]	 Pacman collected 5 points!
[2017-10-21 20:09:21]	 Pacman collected 5 points!
[2017-10-21 20:16:22]	 Pacman collected 1 points!
[2017-10-21 20:16:25]	 Pacman collected 1 points!
[2017-10-21 20:16:27]	 Pacman collected 1 points!
[2017-10-21 20:23:45]	 Pacman collected 1 points!
[2017-10-21 20:23:49]	 Pacman collected 1 points!
[2017-10-21 20:23:49]	 Pacman collected 1 points!
[2017-10-21 20:23:56]	 Pacman collected 1 points!
[2017-10-21 20:23:56]	 Pacman collected 1 points!
[2017-10-21 20:27:18]	 Pacman collected 1 points!
[2017-10-21 20:28:17]	 Pacman collected 1 points!
[2017-10-21 20:28:19]	 Pacman collected 1 points!
[2017-10-21 20:28:21]	 Jump Ability Activated!
[2017-10-21 20:28:22]	 Pacman collected 1 points!
[2017-10-21 20:28:22]	 Pacman collected 1 points!
[2017-10-21 20:28:23]	 Pacman collected 1 points!
[2017-10-21 20:28:23]	 Pacman collected 1 points!
[2017-10-21 20:28:25]	 Pacman collected 1 points!
[2017-10-21 20:28:25]	 Pacman collected 1 points!
[2017-10-21 20:28:25]	 Pacman collected 1 points!
[2017-10-21 20:28:25]	 Pacman collected 1 points!
[2017-10-21 20:28:26]	 Pacman collected 1 points!
[2017-10-21 20:28:26]	 Pacman collected 5 points!
[2017-10-21 20:28:27]	 Pacman collected 1 points!
[2017-10-21 20:28:27]	 Pacman collected 1 points!
[2017-10-21 20:28:28]	 Pacman collected 1 points!
[2017-10-21 20:28:28]	 Pacman collected 1 points!
[2017-10-21 20:28:29]	 Pacman collected 1 points!
[2017-10-21 20:28:30]	 Pacman collected 1 points!
[2017-10-21 20:28:30]	 Pacman collected 1 points!
[2017-10-21 20:28:30]	 Pacman collected 1 points!
[2017-10-21 20:28:32]	 Pacman collected 1 points!
[2017-10-21 20:28:32]	 Pacman collected 1 points!
[2017-10-21 20:28:32]	 Pacman collected 1 points!
[2017-10-21 20:28:33]	 Pacman collected 5 points!
[2017-10-21 20:28:34]	 Pacman collected 1 points!
[2017-10-21 20:28:34]	 Pacman collected 1 points!
[2017-10-21 20:28:35]	 Pacman collected 1 points!
[2017-10-21 20:28:35]	 Pacman collected 1 points!
[2017-10-21 20:28:36]	 Pacman collected 1 points!
[2017-10-21 20:28:36]	 Pacman collected 1 points!
[2017-10-21 20:28:36]	 Pacman collected 1 points!
[2017-10-21 20:28:37]	 Pacman collected 1 points!
[2017-10-21 20:28:37]	 Pacman collected 5 points!
[2017-10-21 20:28:38]	 Pacman collected 1 points!
[2017-10-21 20:28:39]	 Pacman collected 1 points!
[2017-10-21 20:28:39]	 Pacman collected 1 points!
[2017-10-21 20:28:39]	 Pacman collected 1 points!
[2017-10-21 20:28:40]	 Pacman collected 1 points!
[2017-10-21 20:28:43]	 Pacman collected 1 points!
[2017-10-21 20:28:43]	 Pacman collected 1 points!
[2017-10-21 20:28:45]	 Pacman collected 1 points!
[2017-10-21 20:28:45]	 Pacman collected 1 points!
[2017-10-21 20:28:46]	 Pacman collected 1 points!
[2017-10-21 20:28:46]	 Pacman collected 1 points!
[2017-10-21 20:28:46]	 Pacman collected 1 points!
[2017-10-21 20:28:47]	 Pacman collected 1 points!
[2017-10-21 20:28:47]	 Pacman collected 1 points!
[2017-10-21 20:28:48]	 Pacman collected 1 points!
[2017-10-21 20:28:49]	 Pacman collected 1 points!
[2017-10-21 20:28:51]	 Pacman collected 1 points!
[2017-10-21 20:28:51]	 Pacman collected 1 points!
[2017-10-21 20:28:52]	 Pacman collected 1 points!
[2017-10-21 20:28:52]	 Pacman collected 1 points!
[2017-10-21 20:31:44]	 Pacman collected 5 points!
[2017-10-21 20:31:45]	 Pacman collected 1 points!
[2017-10-21 20:31:45]	 Pacman collected 1 points!
[2017-10-21 20:31:46]	 Pacman collected 5 points!
[2017-10-21 20:31:48]	 Pacman collected 1 points!
[2017-10-21 20:31:48]	 Pacman collected 1 points!
[2017-10-21 20:31:49]	 Pacman collected 1 points!
[2017-10-21 20:31:49]	 Pacman collected 1 points!
[2017-10-21 20:31:59]	 Pacman collected 1 points!
[2017-10-21 20:31:59]	 Pacman collected 1 points!
[2017-10-21 20:32:01]	 Pacman collected 1 points!
[2017-10-21 20:32:01]	 Pacman collected 5 points!
[2017-10-21 20:32:03]	 Pacman collected 1 points!
[2017-10-21 20:32:04]	 Pacman collected 1 points!
[2017-10-21 20:32:04]	 Pacman collected 1 points!
[2017-10-21 20:32:04]	 Pacman collected 1 points!
[2017-10-21 20:32:05]	 Pacman collected 1 points!
[2017-10-21 20:32:05]	 Pacman collected 5 points!
[2017-10-21 20:32:07]	 Pacman collected 1 points!
[2017-10-21 20:32:07]	 Pacman collected 1 points!
[2017-10-21 20:32:07]	 Pacman collected 1 points!
[2017-10-21 20:32:08]	 Pacman collected 1 points!
[2017-10-21 20:32:08]	 Pacman collected 1 points!
[2017-10-21 20:32:17]	 Pacman collected 1 points!
[2017-10-21 20:32:18]	 Pacman collected 1 points!
[2017-10-21 20:39:38]	 Pacman collected 1 points!
[2017-10-21 20:39:39]	 Pacman collected 5 points!
[2017-10-21 20:39:40]	 Pacman collected 1 points!
[2017-10-21 20:39:40]	 Pacman collected 1 points!
[2017-10-21 20:39:40]	 Pacman collected 1 points!
[2017-10-21 20:39:46]	 Pacman collected 1 points!
[2017-10-21 20:39:48]	 Pacman collected 1 points!
[2017-10-21 20:39:48]	 Pacman collected 5 points!
[2017-10-21 20:39:48]	 Pacman collected 1 points!
